Author, Title, Year
Mary Shelley, A Dirge, 1830
Mary Shelley, A Night Scene, 1830
Mary Shelley, Absence, 1830
Mary Shelley, I must forget thy dark eyes' love-fraught gaze, unknown
Mary Shelley, La Vida es Sueno, unknown
Mary Shelley, Ode to Ignorance, 1834
Mary Shelley, Oh Listen While I Sing to Thee, 1838
Mary Shelley, On Reading Wordsworth's Lines on Peele Castle, 1825
Mary Shelley, Sadly borne across the waves, unknown
Mary Shelley, To love in solitude and mystery, 1832
Mary Shelley, Tribute for thee dear solace of my life, unknown

